Set point,duty,hız
30.00,35.76,0.00
30.00,35.76,0.00
30.00,36.24,0.00
30.00,36.24,0.00
30.00,36.72,0.00
30.00,37.20,0.00
30.00,37.20,0.00
30.00,37.68,0.00
30.00,37.68,0.00
30.00,38.16,0.00
30.00,38.64,0.00
30.00,38.64,0.00
30.00,39.12,0.00
30.00,39.12,0.00
30.00,39.60,0.00
30.00,39.60,0.00
30.00,40.08,0.00
30.00,40.56,0.00
30.00,40.56,0.00
30.00,41.04,0.00
30.00,41.04,0.00
30.00,41.52,0.00
30.00,42.00,0.00
30.00,42.00,0.00
30.00,42.48,0.00
30.00,42.48,0.00
30.00,42.96,0.00
30.00,42.96,0.00
30.00,43.44,0.00
30.00,43.92,0.00
30.00,43.92,0.00
30.00,44.40,0.00
30.00,44.40,0.00
30.00,44.88,0.00
30.00,45.36,0.00
30.00,45.36,0.00
30.00,45.84,0.00
30.00,45.84,0.00
30.00,46.32,0.00
30.00,46.32,0.00
30.00,46.80,0.00
30.00,47.28,0.00
30.00,47.28,0.00
30.00,47.76,0.00
30.00,47.76,0.00
30.00,48.24,0.00
30.00,48.72,0.00
30.00,48.72,0.00
30.00,49.20,0.00
30.00,49.20,0.00
30.00,49.68,0.00
30.00,49.68,0.00
30.00,50.16,0.00
30.00,50.64,0.00
30.00,50.64,0.00
30.00,51.12,0.00
30.00,51.12,0.00
30.00,51.60,0.00
30.00,52.08,0.00
30.00,52.08,0.00
30.00,52.56,0.00
30.00,52.56,0.00
30.00,53.04,0.00
30.00,53.04,0.00
30.00,53.52,0.00
30.00,54.00,0.00
30.00,54.00,0.00
30.00,54.48,0.00
30.00,54.48,0.00
30.00,54.96,0.00
30.00,55.44,0.00
30.00,55.44,0.00
30.00,55.92,7.93
30.00,55.92,0.00
30.00,56.40,0.00
30.00,56.40,7.93
30.00,12.68,0.00
30.00,92.11,0.00
30.00,92.11,7.93
30.00,13.51,7.93
30.00,13.51,7.93
30.00,48.74,0.00
30.00,48.74,7.93
30.00,93.30,0.00
30.00,58.90,7.93
30.00,58.90,15.85
30.00,0.00,7.93
30.00,0.00,0.00
30.00,129.37,15.85
30.00,0.00,7.93
30.00,0.00,15.85
30.00,41.67,7.93
30.00,41.67,7.93
30.00,86.10,15.85
30.00,86.10,7.93
30.00,51.57,7.93
30.00,51.92,15.85
30.00,51.92,7.93
30.00,52.28,7.93
30.00,52.28,7.93
30.00,52.63,15.85
30.00,52.63,7.93
30.00,8.78,7.93
30.00,88.09,0.00
30.00,88.09,7.93
30.00,53.56,7.93
30.00,53.56,15.85
30.00,9.71,7.93
30.00,89.02,7.93
30.00,89.02,7.93
30.00,54.49,7.93
30.00,54.49,7.93
30.00,54.85,7.93
30.00,54.85,7.93
30.00,55.20,7.93
30.00,55.55,7.93
30.00,55.55,7.93
30.00,55.91,7.93
30.00,55.91,7.93
30.00,56.26,7.93
30.00,56.26,7.93
30.00,56.61,7.93
30.00,56.97,7.93
30.00,56.97,0.00
30.00,101.52,7.93
30.00,101.52,7.93
30.00,22.92,15.85
30.00,22.92,7.93
30.00,13.95,7.93
30.00,93.26,7.93
30.00,93.26,7.93
30.00,58.73,15.85
30.00,58.73,7.93
30.00,59.08,7.93
30.00,59.44,15.85
30.00,59.44,7.93
30.00,59.79,7.93
30.00,59.79,7.93
30.00,60.14,7.93
30.00,60.14,7.93
30.00,60.50,7.93
30.00,60.85,15.85
30.00,60.85,0.00
30.00,105.41,15.85
30.00,105.41,7.93
30.00,26.80,7.93
30.00,26.80,15.85
30.00,17.83,7.93
30.00,97.14,7.93
30.00,97.14,15.85
30.00,18.41,7.93
30.00,18.41,15.85
30.00,53.52,7.93
30.00,97.95,7.93
30.00,97.95,7.93
30.00,63.42,15.85
30.00,63.42,15.85
30.00,19.57,7.93
30.00,19.57,7.93
30.00,98.88,15.85
30.00,20.15,7.93
30.00,20.15,15.85
30.00,55.26,7.93
30.00,55.26,15.85
30.00,55.48,7.93
30.00,55.48,7.93
30.00,99.91,15.85
30.00,21.18,7.93
30.00,21.18,15.85
30.00,56.29,7.93
30.00,56.29,7.93
30.00,100.72,15.85
30.00,100.72,7.93
30.00,66.19,15.85
30.00,22.34,15.85
30.00,22.34,7.93
30.00,101.65,15.85
30.00,101.65,7.93
30.00,67.13,15.85
30.00,67.13,15.85
30.00,23.28,7.93
30.00,102.59,15.85
30.00,102.59,15.85
30.00,23.85,7.93
30.00,23.85,15.85
30.00,58.96,15.85
30.00,58.96,7.93
30.00,103.39,15.85
30.00,24.66,15.85
30.00,24.66,15.85
30.00,59.77,7.93
30.00,59.77,15.85
30.00,59.99,7.93
30.00,59.99,15.85
30.00,104.42,7.93
30.00,69.90,15.85
30.00,69.90,15.85
30.00,26.05,15.85
30.00,26.05,7.93
30.00,105.36,15.85
30.00,105.36,15.85
30.00,26.63,15.85
30.00,61.73,7.93
30.00,61.73,15.85
30.00,61.96,15.85
30.00,61.96,7.93
30.00,106.39,15.85
30.00,106.39,7.93
30.00,27.66,15.85
30.00,62.76,15.85
